EngineID,Samples,MinCycle,MaxCycle,AvgAltitude,AvgRPM,AvgFuelFlow,AvgThrust,AvgTSFC,AvgHealth
1,300,1,300,6111.26684699195,53793.22444405364,1.0973954999485698,47422.63546463151,0.022354210362311402,0.9244844005422429
2,300,1,300,5813.099078125207,54743.12026677906,1.084780776805756,47657.412738937,0.022067729600765865,0.9363898327526109
3,300,1,300,6221.797897325706,53557.02957778909,1.1439637845852633,48836.61047864936,0.022816957690317927,0.9272814264552081
4,300,1,300,5920.17812593054,55620.80126012474,1.0347259295445335,46478.34374263768,0.021297489999815754,0.9207769660876595
5,300,1,300,5902.708010461239,54744.9152286102,1.1021943400111818,48361.032388535124,0.021978702545788494,0.9202431073939423
6,300,1,300,5765.831349657951,55429.14909433684,1.1105460326200325,49016.737104484855,0.021943330940623798,0.9338306068865645
7,300,1,300,6010.793304880534,53819.338516999625,1.1089620837369039,48359.768837994074,0.022103654129145278,0.9346955676826748
8,300,1,300,5709.903863945365,54117.398488839,1.0924017118932319,47806.81998016676,0.02200070959755361,0.942607259128056
9,300,1,300,6023.397398571295,54418.373536562,1.0506622716242993,46058.13354872681,0.02204389997811526,0.931596976585423
10,300,1,300,5640.852360580627,55153.49167931531,1.07783959558076,47125.57686052195,0.022100061285981944,0.9394832877620022
11,300,1,300,6238.704945049284,55242.25205036377,1.171608891765773,50743.24772908308,0.022301966101728018,0.9311822886706136
12,300,1,300,5765.47614680183,55217.82231541427,1.098448789786923,48417.56600780573,0.021849757607259226,0.9231814270763504
13,300,1,300,5514.154859990871,53778.200448790136,1.0879283659126722,47033.56363485671,0.02242372600583373,0.9339203201361378
14,300,1,300,6102.970549289363,53934.65153241818,1.0872166241295798,47395.98312207556,0.02216106927037475,0.9428838196367002
15,300,1,300,6039.484580993375,55603.40132784873,1.0328024260608692,46853.24978001265,0.021101104819748345,0.929794428731175
16,300,1,300,6001.455985806889,54799.953592005084,1.1049676450414765,47799.51725753356,0.022278839800035047,0.9278916182343109
17,300,1,300,6066.505188229578,55983.90436547569,1.0632061331039695,47768.88287110612,0.021328306070004115,0.9253097849666801
18,300,1,300,5825.223848714481,55632.54055408316,1.0887207754681967,47842.445692029396,0.02203439610814476,0.942074192961993
19,300,1,300,6128.714303669578,54747.44966801057,1.143961401571486,48905.06645598664,0.022812581116379568,0.9193096798588126
20,300,1,300,5923.61281413186,54680.00620535335,1.100007934888083,48403.051224905495,0.02192055680729635,0.933564910463426
21,300,1,300,6081.781821191649,55378.782100642544,1.1462142528255397,49275.4707948467,0.02255781889524424,0.9184901067303087
22,300,1,300,5596.5221520248315,54577.50066558166,1.1321420355662193,49532.93711448549,0.022156149587279895,0.9351514303182352
23,300,1,300,5653.46529569848,54352.07658106121,1.104906577872792,47474.920043630715,0.022499984706634956,0.9258247632831181
24,300,1,300,6097.706460441338,53996.577405233016,1.124776033693294,48886.66044361896,0.022279137378906102,0.9422880847417772
25,300,1,300,5906.499913043519,55763.144106811764,1.1576137980203935,50695.199559239656,0.022002133662215987,0.932392148619791
26,300,1,300,6033.9926603751555,55468.39282552393,1.119556283345466,49036.1825759325,0.022214699437655857,0.9345461271853194
27,300,1,300,5990.728310234701,54682.009829147,1.1017581610585405,47958.794258066206,0.02196314725237936,0.9280544563977787
28,300,1,300,6221.056341564368,55330.36452188671,1.1017940786153333,48553.23815991465,0.02192910973338827,0.927107731599001
29,300,1,300,5807.550779910314,54787.94809571191,1.1042578917888504,48032.37329585207,0.02209987414114641,0.9201175170607899
30,300,1,300,6046.490260276003,55589.92968362698,1.138249683319921,49484.00348770379,0.022093106054813873,0.9256040361600336
31,300,1,300,6235.488683986771,54297.78242156484,1.1023703242033989,47146.26056771469,0.02264566656640401,0.9321186481467695
32,300,1,300,5631.627941920051,55825.179681806636,1.0970385585612241,48682.651352399174,0.021792598707873884,0.936902158069412
