Sensor,Mean,Median,Std,CV (%),Min,Max,Range,Skewness,Kurtosis,UniqueValues
Altitude_m,5961.798497658577,5930.871433871667,3473.799184142307,58.267638289127,0.3052313462335989,12121.012605726806,12120.707374380572,0.01347217730525401,-1.2033252656632722,30000
Mach,0.4466521931121906,0.4454965904316836,0.2595114529742189,58.101461713641356,8.948495937942434e-06,0.91178016395689,0.9117712154609521,0.019154052043759,-1.1946059067385801,30000
Tamb_K,249.4031009354364,249.69115294109528,22.710633660914752,9.105994903725719,202.54094539907328,297.94997408757246,95.40902868849918,-0.008081766621048442,-1.1728841557017409,30000
Pamb_Pa,51791.579979698065,47597.29127668429,23618.55416776408,45.60307713536136,18723.632442501897,104303.97329627303,85580.34085377114,0.4360299799986489,-1.005025489058544,30000
RPM_rev_min,55101.2431161403,55112.569912552135,14476.999842259485,26.273454142850127,29646.88665745437,80921.74865517335,51274.861997718974,-0.002922871989017965,-1.2012136397078126,30000
FuelFlow_kg_s,1.098385111109952,1.0995110676029491,0.5185757270027558,47.21255976227855,0.1955929819882236,2.04679537512226,1.8512023931340362,-0.00042813079809313285,-1.1970234923879206,30000
P2_Pa,227974.05061751226,184368.5826671234,158384.5444666622,69.47481261031538,17627.616315230818,1082577.7237955623,1064950.1074803316,1.2923516743405896,1.7116881267241486,30000
T2_K,398.62127096217387,400.98448544434814,77.29185315746733,19.389796477971128,200.63163276167475,626.389717408446,425.7580846467713,-0.03138795095942209,-0.5714314469731168,30000
P3_Pa,216645.22588827094,175220.35928320995,150569.36218719897,69.50042936318899,16874.30301027251,1027530.0214370498,1010655.7184267773,1.2939921903349623,1.7165145197739222,30000
T3_K,2041.5897318856871,1827.2216346303776,1070.2545852446522,52.4226081533103,557.3846784197874,7165.339752085535,6607.9550736657475,1.3011005778447924,1.858471636442736,30000
P4_Pa,131968.57264284353,112824.88680264275,78404.89666961912,59.41179411086925,14115.753053782948,591706.7259497945,577590.9728960115,1.2038037426775907,1.575660042219488,30000
T4_K,1882.559174334421,1639.130974455244,1117.3878996786475,59.35472918526984,305.93659107396905,7175.779015099532,6869.842424025564,1.310863916600035,1.8259503158565589,30000
