EngineID,Cycle,CompressorHealth,CombustorHealth,TurbineHealth,OverallHealth,Thrust_N,TSFC_g_N_s
1,1,0.9998434522091605,0.9999404212422492,0.9999209946569854,0.9998958056534346,89488.24839543526,0.020352244792664023
1,2,0.9996145341237728,0.9998532998904822,0.9998054660266464,0.9997434434246477,46988.40584474803,0.015349663334782243
1,3,0.9993470129409394,0.9997514870213273,0.9996704554800263,0.9995653879267818,46913.5096808912,0.02212400196383693
1,4,0.9990508716798956,0.9996387819594602,0.9995210011709998,0.9993682836110963,55962.7236379123,0.022980298350424828
1,5,0.9987314489503911,0.9995172164661422,0.9993597973483471,0.9991556837245033,64850.79064315919,0.029658101985425653
1,6,0.9983921572605021,0.999388089269327,0.9991885662105718,0.9989298595481706,37183.43935426618,0.025662679570314394
1,7,0.9980353988434962,0.9992523146078747,0.9990085200984055,0.9986924099492825,31508.02469556222,0.026653440599852102
1,8,0.997662971942312,0.99911057685478,0.9988205665353553,0.9984445317939654,69542.15727332262,0.019478913585957394
1,9,0.9972762815941774,0.9989634107373118,0.9986254146048748,0.9981871602403269,66035.9497737373,0.029504921724386547
1,10,0.9968764609244622,0.9988112474988723,0.9984236361640181,0.997921049468652,51253.19984428468,0.02255089382827272
1,11,0.9964644463316443,0.9986544435127946,0.9982157037872146,0.9976468227226605,39412.585435428184,0.023207279153502118
1,12,0.9960410267874601,0.9984932990449321,0.9980020156466924,0.9973650051224714,51031.306740095046,0.0355766206358763
1,13,0.9956068776230906,0.9983280711119606,0.9977829125634323,0.9970760461518541,54166.58485421743,0.030459473805768324
1,14,0.9951625845234388,0.9981589826130904,0.9975586901164162,0.9967803356282274,28517.67341812983,0.01778434740289846
1,15,0.9947086610758926,0.997986229008752,0.9973296074990031,0.9964782153826836,35500.97949131353,0.025301452628458523
1,16,0.9942455619258943,0.9978099833273255,0.9970958941581813,0.9961699880160098,43996.87320459403,0.026083193926416948
1,17,0.9937736928488292,0.9976303999982873,0.996857754877572,0.9958559236022895,71335.16498341589,0.027809850723666873
1,18,0.9932934186022935,0.9974476178406162,0.996615373740252,0.9955362649151778,50220.13477608164,0.01690135253638119
1,19,0.9928050691455246,0.9972617624297764,0.9963689172675283,0.9952112315674012,44887.66132270401,0.020230966597869295
1,20,0.9923089446345744,0.9970729479987736,0.9961185369398637,0.9948810233354209,60363.415193801,0.017806532554425165
1,21,0.9918053194840211,0.9968812789839564,0.9958643712467111,0.9945458228628088,40248.771200185976,0.014160986654875574
1,22,0.9912944457062456,0.9966868512958742,0.9956065473717535,0.9942057978827865,66046.50234542147,0.027026269066520184
1,23,0.9907765556840722,0.9964897533744845,0.9953451825921791,0.993861103063628,67111.33081680066,0.021577745979992756
1,24,0.9902518644935987,0.9962900670731734,0.9950803854509496,0.9935118815546764,27649.746889455506,0.012790253031989501
1,25,0.9897205718660489,0.996087868405394,0.9948122567468932,0.9931582662921057,18254.932788612554,0.013667455332816719
1,26,0.9891828638570551,0.9958832281799607,0.994540890377145,0.9928003811099537,77033.07444016988,0.02315764365346038
1,27,0.9886389142766623,0.9956762125452777,0.9942663740588302,0.9924383416918974,38985.39928516067,0.018510208008432602
1,28,0.9880888859220068,0.9954668834584709,0.993988789951164,0.9920722563916932,52604.18718994239,0.02008150660160993
1,29,0.9875329316460254,0.995255299092115,0.9937082151947987,0.9917022269444842,67909.13378294211,0.020085586255680337
